DATAFLOW,LAST UPDATE,freq,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DE,2022,39.6,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DK,2013,9.8,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DK,2014,11.2,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DK,2015,11.7,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DK,2016,10.4,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DK,2017,10.3,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DK,2018,10.7,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DK,2019,11.1,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DK,2020,9.2,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DK,2021,9.8,b
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,DK,2022,12.0,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,EE,2013,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,EE,2014,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,EE,2015,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,EE,2016,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,EE,2017,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,THS_PER,EE,2018,,u
