DATAFLOW,LAST UPDATE,freq,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BG,2018,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BG,2019,,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BG,2020,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BG,2021,,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BG,2022,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CH,2013,0.90,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CH,2014,1.01,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CH,2015,0.98,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CH,2016,0.97,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CH,2017,0.84,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CH,2018,1.10,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CH,2019,1.22,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CH,2020,0.92,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CH,2021,0.93,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CH,2022,1.20,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CY,2013,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CY,2014,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CY,2015,,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CY,2016,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,CY,2017,,u
