DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EU27_2020,2014,0.63,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EU27_2020,2015,0.64,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EU27_2020,2016,0.66,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EU27_2020,2017,0.67,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EU27_2020,2018,0.67,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EU27_2020,2019,0.69,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EU27_2020,2020,0.68,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EU27_2020,2021,0.70,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,EU27_2020,2022,0.75,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FI,2013,1.06,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FI,2014,1.27,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FI,2015,1.26,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FI,2016,1.26,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FI,2017,1.27,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FI,2018,1.26,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FI,2019,1.26,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FI,2020,1.35,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FI,2021,1.30,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FI,2022,1.24,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FR,2013,0.83,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FR,2014,0.64,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FR,2015,0.68,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FR,2016,0.69,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FR,2017,0.65,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FR,2018,0.70,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FR,2019,0.68,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FR,2020,0.70,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FR,2021,1.06,bd
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,FR,2022,1.13,d
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HR,2013,0.30,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HR,2014,0.39,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HR,2015,0.30,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HR,2016,0.37,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HR,2017,0.39,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HR,2018,0.59,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HR,2019,0.65,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HR,2020,0.36,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HR,2021,0.46,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HR,2022,0.46,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HU,2013,0.31,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HU,2014,0.35,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HU,2015,0.44,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HU,2016,0.39,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HU,2017,0.36,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HU,2018,0.42,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HU,2019,0.50,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HU,2020,0.58,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HU,2021,0.59,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,HU,2022,0.60,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IE,2013,1.01,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IE,2014,0.99,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IE,2015,0.90,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IE,2016,1.04,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IE,2017,1.07,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IE,2018,1.06,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IE,2019,1.04,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IE,2020,0.93,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IE,2021,0.84,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IE,2022,0.90,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IS,2013,2.09,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IS,2014,1.95,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IS,2015,1.97,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IS,2016,2.03,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IS,2017,2.25,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IS,2018,2.30,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IS,2019,2.14,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IS,2020,2.16,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IS,2021,2.73,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IS,2022,2.74,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IT,2013,0.47,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IT,2014,0.54,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IT,2015,0.52,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IT,2016,0.52,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IT,2017,0.57,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IT,2018,0.50,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IT,2019,0.57,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IT,2020,0.60,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IT,2021,0.46,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,IT,2022,0.59,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LT,2013,0.41,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LT,2014,0.45,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LT,2015,0.51,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LT,2016,0.57,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LT,2017,0.54,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LT,2018,0.57,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LT,2019,0.42,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LT,2020,0.40,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LT,2021,0.49,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LT,2022,0.54,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LU,2013,0.65,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LU,2014,0.49,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LU,2015,0.75,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LU,2016,1.07,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LU,2017,0.82,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LU,2018,0.75,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LU,2019,0.62,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LU,2020,0.76,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LU,2021,0.56,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LU,2022,0.75,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LV,2013,0.52,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LV,2014,0.64,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LV,2015,0.60,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LV,2016,0.66,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LV,2017,0.65,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LV,2018,0.91,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LV,2019,1.14,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LV,2020,0.76,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LV,2021,0.70,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,LV,2022,0.59,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ME,2013,0.78,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ME,2014,0.66,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ME,2015,,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ME,2016,,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ME,2017,0.53,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ME,2018,0.66,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ME,2019,0.64,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,ME,2020,0.73,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,MK,2013,0.17,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,MK,2014,0.28,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,MK,2015,0.31,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,MK,2016,0.26,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,MK,2017,0.30,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,MK,2018,0.26,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,MK,2019,0.30,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,MK,2020,0.27,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,MT,2013,0.67,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,PC_EMP,MT,2014,0.66,
