DATAFLOW,LAST UPDATE,freq,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EU27_2020,2021,0.75,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,EU27_2020,2022,0.83,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FI,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FI,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FI,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FI,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FI,2017,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FI,2018,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FI,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FI,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FI,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FI,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FR,2013,1.59,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FR,2014,1.16,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FR,2015,2.92,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FR,2016,2.48,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FR,2017,1.23,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FR,2018,2.15,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FR,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FR,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FR,2021,1.26,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,FR,2022,1.34,du
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HR,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HR,2014,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HR,2015,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HR,2016,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HR,2017,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HR,2018,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HR,2019,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HR,2020,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HR,2021,,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HR,2022,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HU,2013,,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y_GE65,PC_EMP,HU,2014,,u
