DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BG,2019,4.9,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BG,2020,4.4,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BG,2021,,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,BG,2022,3.2,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CH,2013,21.8,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CH,2014,25.2,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CH,2015,27.4,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CH,2016,30.2,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CH,2017,28.7,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CH,2018,29.7,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CH,2019,31.0,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CH,2020,31.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CH,2021,24.3,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CH,2022,21.2,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CY,2013,,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CY,2014,0.9,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CY,2015,0.6,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CY,2016,0.9,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CY,2017,1.2,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CY,2018,0.9,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CY,2019,1.2,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CY,2020,1.4,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CY,2021,1.2,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CY,2022,0.9,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CZ,2013,11.2,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CZ,2014,12.2,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CZ,2015,10.6,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CZ,2016,12.5,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CZ,2017,17.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CZ,2018,14.4,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CZ,2019,12.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CZ,2020,11.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CZ,2021,10.4,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,CZ,2022,11.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,DE,2013,114.3,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,DE,2014,112.7,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,DE,2015,111.8,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,DE,2016,125.5,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,DE,2017,133.4,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,DE,2018,133.3,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,DE,2019,137.2,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,DE,2020,118.1,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,DE,2021,107.9,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,THS_PER,DE,2022,124.9,
