DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CH,2019,1.06,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CH,2020,0.95,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CH,2021,1.04,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CH,2022,1.05,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CY,2013,0.76,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CY,2014,0.63,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CY,2015,0.71,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CY,2016,0.97,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CY,2017,0.86,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CY,2018,0.74,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CY,2019,0.82,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CY,2020,1.00,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CY,2021,1.13,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CY,2022,1.01,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CZ,2013,0.50,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CZ,2014,0.59,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CZ,2015,0.59,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CZ,2016,0.66,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CZ,2017,0.55,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CZ,2018,0.67,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CZ,2019,0.78,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CZ,2020,0.62,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CZ,2021,0.67,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,CZ,2022,0.64,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DE,2013,0.49,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DE,2014,0.50,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DE,2015,0.52,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DE,2016,0.53,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DE,2017,0.54,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DE,2018,0.54,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DE,2019,0.55,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DE,2020,0.55,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DE,2021,0.53,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DE,2022,0.51,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DK,2013,0.86,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DK,2014,0.99,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DK,2015,1.04,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DK,2016,1.03,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DK,2017,0.93,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DK,2018,0.93,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DK,2019,1.05,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DK,2020,0.96,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DK,2021,0.92,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,DK,2022,1.17,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EE,2013,1.05,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EE,2014,1.07,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EE,2015,0.79,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EE,2016,0.92,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EE,2017,0.71,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EE,2018,0.83,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EE,2019,0.91,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EE,2020,0.74,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EE,2021,0.79,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EE,2022,1.06,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EL,2013,0.26,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EL,2014,0.44,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EL,2015,0.52,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EL,2016,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EL,2017,0.53,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EL,2018,0.53,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EL,2019,0.54,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,M,PC_EMP,EL,2020,0.65,
